name,description
Code for Seattle,Code For Seattle is now Open Seattle and can be found at: @open_seattle
Adam Hecktman,@MSFTChicago Director of Technology & Civic Innovation and lover of everything Chicago.
Luis Daniel,"Automating news at Bloomberg News. ex- @thegovlab, @nyuniversity, @itp_nyu @digitalnyc Opinions are my own and not the robots'."
Andrew Hoppin,@GetNuCivic / @Nuams co-founder; former NYS Senate CIO; social entrepreneur; planetary geologist; synthesizer
Accela,"Accela provides #civicengagement software solutions and mobile apps for local, state and federal government agencies with the #CivicPlatform."
Mark Headd,"Once and future CDO. @PhiladelphiaGov, @Delaware_Gov, @NYSenate & @CodeforAmerica alum. Upgrading government for the 21st Century. #opendata #civichacking"
Getaround,"Rent great cars from people nearby starting at $5/hour. Earn up to $10,000/year. Join for free!"
Rasmi Elasmar,Mad scientist.
Beneficent Technology,"We're a nonprofit that creates and uses technology to benefit humanity. Projects include http://t.co/n9qVgWyY, http://t.co/CeZUOIvS and http://t.co/BPwVU9M2."
Kiva Microfunds,NULL
Front Porch Forum,"Front Porch Forum helps neighbors connect and build community.  More than 100,000 members in Vermont."
Democracy Works,"TurboVote makes voting by mail as easy as renting a DVD from Netflix, so you never have to miss another election."
Steven Adler,IBM Information Strategist
New York Tech Meetup,"NYTM- Nonproft and world's largest Meetup group, 45,000+ members strong. Monthly events to demo kickass technology. Tweets mostly by @jessicalawrence & @casatay"
Joe Biden,This account is run by @TheDemocrats staff. Tweets from the Vice President are signed -Joe.
Ady Sevy,NULL
Department of Agriculture,"Stay up to date with the latest news, events and info from the U.S. Department of Agriculture - and live tweeting, too!"
Mapbox,"We're an open source mapping platform for developers. We want to change the way people move around cities and understand our planet."
The Innovation Project,A 501(c)3 non-profit organization with the mission of spreading innovation.
Code for America,"Government can work for the people, by the people, in the 21st century. Help us make it so."
Puerto Rico,NULL
Giancarlo Gonzalez,Team Builder | Doer | Visionary | Former CIO | Proud Husband to an amazing Wife
Brian Forde,"Dir of Digital Currency @medialab, @UCLA Alum, Returned @PeaceCorps Volunteer, Nicaraguan phone company founder, most recently Senior Advisor @whitehouseostp"
Ania Calderon,NULL
Aaron Maniam,"futurist, planner, youth activism enthusiast,poet,leadership trainer,general meddler,INFJ."
Andres Monroy-Hernandez,NULL
Civic Hall,A new home for #civictech in NYC. Take advantage of our membership plans & join our growing community: http://t.co/IAnuVb6WzN
Jen Pahlka,Founder and ED of @CodeforAmerica. Mom. Keeper of chickens. This is my personal account.
IB5k,NULL
New America,Think tank and civic enterprise renewing America in the digital age
MySociety,NULL
Tom Steinberg,"Founded @mysociety, left mySociety, now looking for interesting people to work with on new things. tom@tomsteinberg.co.uk"
ChiHackNight,"A free, weekly event in Chicago to build, share and learn about civic tech.Join us every Tuesday from 6-10pm on the 8th floor of the Merchandise Mart!"
DataMade,"We build open source technology using open data to empower journalists, researchers, governments and advocacy organizations. Run by @derekeder and @forestgregg."
Eric Tyler,"Focused on the intersection of tech and globalization. Founder @BeGlobality, @WorldBank consultant & @NewAmerica fellow"
CivicArchive,NULL
Engagement Lab,An applied research lab at Emerson College focused on playful approaches to serious issues. Home of #CivicMediaProj #civicmedia.
FWD.us,NULL
Ryan Wold,civic-minded citizen seeking the singularity. arranging bits of experience at @neoinnovate
Andela,"Andela is a new type of technology staffing partner. Blending the best of outsourcing & in-house hiring, Andela will change how you think about sourcing talent."
Tim O'Reilly,"Founder and CEO, O'Reilly Media. Watching the alpha geeks, sharing their stories, helping the future unfold."
Ken Chan,Civic Tech & Innovation Fellow @Microsoft âœµ Computer Engineer @NYUniversity âœµ #CivicHacker #FullStack #DataViz #BigData
NationBuilder,Software for leaders
Amplify Labs,Better data makes better cities. Collecting and analyzing it should be easy.  @codeforamerica @mattervc info@localdata.com
"NYC Dept of Education, Office of Innovation (iZone)",Supporting #edtech innovation within @NYCSchools. Share your #NYCSchoolsTech story!
New York City Mayor's Office,"Official New York City government Twitter. Keep up with NYC news, services, programs, free events and emergency notifications https://t.co/N0igPl3T7S"
Personal Democracy Media,NULL
Ushahidi,"Gather reports to see what happened, when, and where."
New York State Governor's Office,Official Twitter account for the Governor of New York State. Social Media Use Policy: http://t.co/Oazy5b89ii
TransitCenter,A foundation committed to improving urban mobility. Our staff tweet too: https://t.co/CNFMVbamkf
Department of Health and Human Services,News and info from U.S. Dept. of Health & Human Services
Farzad Mostashari,NULL
Eric Gertler,NULL
Tom Tresser,NULL
Darren Walker,NULL
Rufus Pollock,NULL
Mor Rubenstein,NULL
Heidi Sieck,COO * @CivicHall * CEO * @CTZNWELL * Elevating Women in Political Leadership * San Franciscan Nebraskan living in NYC * Tweets are my own
Sarah Leary,"Co-Founder + Mktg @Nextdoor. Previously: Epinions/SDC, MSFT, Benchmark, Greylock. @SFFDNERT. Fan of Italy, Sox/Pats, HLAX, Golf, Room to Read, and Family! GSD."
Nirav Tolia,NULL
Alissa Black,NULL
Stacy Donohue,"Investment Partner at Omidyar Network, focused on Governance and Citizen Engagement."
Bill Clinton,NULL
Katie Dowd,NULL
Clay Johnson,NULL
Dmytro Pokhylko,NULL
Kyle Kimball,NULL
Phil Ashlock,NULL
Brandon Kessler,NULL
CartoDB,"A location intelligence & visualization engine that empowers you to transform data into insights. Connect & map location data, and develop location based apps."
Vizalytics,Enabling change with data. Our mission: Help small and local businesses be more competitive. #500strong @MindMyBizApp.
Sidewalk Labs,Improve life in cities for everyone through the application of technology to solve urban problems.
Y Combinator,NULL
Teach For America,"One day, all children in this nation will have the opportunity to attain an excellent education."
Los Angeles Mayor's Office,"Official Twitter account for the Office of Mayor @EricGarcetti, the 42nd Mayor of Los Angeles. Tweets from the Mayor signed EGhttp://t.co/XwJwUs9bTs"
Intersection,Intersection is a technology and media company committed to improving the urban experience. #LinkNYC #sidewalklabs
Code for Princeton,"We are developers, designers, community organizers, and local government, working together to innovate for our town. Like us on Facebook: http://t.co/J5omQ0iQ7K"
FWD.us,Moving the knowledge economy forward. #MoveFWD #immigration
Jonathan Soros,NULL
Agora Journalism Center,The gathering place for innovation in communication and civic engagement at @univ_of_oregon's @uosojc.
NYC Media Lab,NYC Media Lab connects digital media & tech companies with NYC universities to explore emerging technologies. Get our newsletter: https://t.co/phCsoUXS8d
Public Knowledge Workshop,Israeli CSO promoting government transparency & civic engagement _”_¡_“_ _ê ___§_“___ª _©_§_™___•_ª _____©_œ _•___¢_•_¨_‘_•_ª _ê_–_¨_—_™_ª: http://t.co/9SiJPoqbkj http://t.co/PNklHazlUK ++
Public Workshop Knowledge,Israeli CSO promoting government transparency & civic engagement _”_¡_“_ _ê ___§_“___ª _©_§_™___•_ª _____©_œ _•___¢_•_¨_‘_•_ª _ê_–_¨_—_™_ª: http://t.co/9SiJPoqbkj http://t.co/PNklHazlUK ++
New Urban Mechanics,"The Mayor's Office New Urban Mechanics is Boston's Civic R&D Lab / Incubator. We are builders, experimenters and city hackers. Next Stop: The Future!!!!"
New Urban Mechanics,"The Mayor's Office New Urban Mechanics is Boston's Civic R&D Lab / Incubator. We are builders, experimenters and city hackers. Next Stop: The Future!!!!"
Prof Christopher Pettit,"Professor of Urban Science, City Futures Research Centre, University of New South Wales."
Code for Pakistan,NULL
CodigoCDMX,NULL
Code for DE,NULL
Civic Data Alliance,"A community voice for liberating, improving, gathering, defining, and reporting on public data. Louisville's Code for America Brigade, too."
Christopher Whitaker,"Civic Technologist - Consultant @CodeforAmerica Brigade Team - @USArmy Combat Veteran, Co-host #chihacknight - Author of the @CivicWhitaker Anthology"
Open Twin Cities,We're members of the Twin Cities community. We're making technology for the Twin Cities community.
Galaxy Backbone Limited,NULL
Code for Pakistan,"Building a new ecosystem of civic innovation. Founded by @snajmi, 2012 @CodeforAmerica Fellow. Join us at http://t.co/uIj0JYn38e"
Code for Africa,"Africa's largest network of civic tech and #OpenData labs. Projects include #impactAFRICA, #openAFRICA, #GotToVote, #sourceAFRICA and #connectedAFRICA"
Erika Herzog,Big music fan. Like TV and movies way too much. Love closed captions & subtitles... ~ Tweets my own ~
Wikipedia,"The official Twitter account for the sum of all knowledge, Wikipedia."
Wiki Education Foundation,"We support innovative uses of Wikipedia and related projects in communities of teaching, learning, and inquiry in the United States and Canada."
Justin Arenstein,Investigative journalist & #CivicTech strategist. Manages innovation fund + tech labs across Africa. Founder @afriLEAKS + @Code4Africa + @AfricanCIR + @HHAfrica
Code for Nigeria,Follow us @codefornigeria
Justin Arenstein,Investigative journalist & #CivicTech strategist. Manages innovation fund + tech labs across Africa. Founder @afriLEAKS + @Code4Africa + @AfricanCIR + @HHAfrica
Code for Kenya,"Code4Kenya is working to revolutionise the way journalists & activists use open data, by embedding data fellows into Kenyan newsrooms & civic organisations."
Code for Uganda,"Code4Uganda is working to revolutionise the way journalists & activists use open data, by embedding data fellows into Ugandan newsrooms & civic organisations."
Code for South Africa,NULL
Adi Eyal,"Using data to promote informed decisions that drive social change.Director of Code for South Africa - @code4sa."
David Lemayian,"Lead technologist at Code for Africa (@Code4Africa), student of life, lover of beautiful minds."
Serah Njambi-Rono,"Developer Advocate, Code For Africa."
Chris Roper,"Senior Knight Fellow at International Center for Journalists (ICFJ), and Code4Africa in SA, Kenya, Nigeria and Tanzania."
Stephen Abbott-Pugh,@ICFJKnight International Journalism Fellow with @code4africa. Co-founder of @TumenyeRW/@Sobanukirwa. Formerly: @UKParliament/@Guardian. Email = spugh@icfj.org
Temi Adeoye,"Carrington fellow, civic hacker, project engineer, amateur photographer, rebel, designer, and ex kung-fu fighter."
Greg Kempe,"Breadmaker, swimmer, geek - tech lead at @Code4SA - the guy behind http://t.co/NkyN3LA3ZV"
Code for Ethiopia,"Code4Ethiopia advocates the idea that certain data  should be freely available to everyone to use and republish as they wish, without any restrictions."
Code for Ghana,Code for Ghana aims to help shape the open data movement in Ghana. Our goal is to encourage citizen participation in governance through open data #DataRevAfrica
African Network of Centres for Investigative Reporting,The African Network of Centers for Investigative Reporting (ANCIR) is a coalition of the continent's best muckraking newsrooms and centers.
Khadija Sharife,The African Network of Centers for Investigative Reporting (ANCIR) is a coalition of the continent's best muckraking newsrooms and centers.
Catherine Gicheru,"Media consultant, media trainer, @ICFJKnight International journalism Fellow (Code4Kenya)"
Ray Joseph,"Knight/ICFJ International Journalism Fellow, data-driven storytelling evangelist, I tweet news, journalism, social media & eclectic stuff @groundsource @code4SA"
Hacks/Hackers Africa,"Hacks/Hackers Africa Movement, please join us as we try to reboot journalism in Africa"
Open Knowledge Foundation Germany,Hier twittert das Team der Open Knowledge Foundation Deutschland. #OpenData #OpenKnowledge
Code for Japan,NULL
Code for Japan,Code for JapanãÅ¯ã€Åå¸‚æ°‘ãÅ¨æ”¿åºœè¡Œæ”¿ãÅ¨ãÅŒã€ÅãÅ“ã‚ŒãÅ‹ã‚‰ãÅ®å…¬å…±ãÅ®ãÅ‚ã‚_æ–_ã‚’å…±ãÅ«è€ƒãÅˆã€Åå…±ãÅ«ä_œã‚_ç¶_ãÅ‘ã‚‹ãÅ“ãÅ¨ã‚’ç_ºãÅ—ãÅ_ãÅ„ãÅèãÅŸã‚Åã€Åãƒ†ã‚¯ãƒ_ãƒ_ã‚¸ãƒ_ãÅ¨ã‚¯ãƒªã‚¨ã‚_ãƒ†ã‚£ãƒ–ã‚’æ´»ç”¨ãÅ—ã€Ååç”åƒçãÅ—ãÅ_ãÅ„ãÅèå›£ä_“ãÅ§ãÅ™ã€‚çè_åœ¨ã€Åå›£ä_“ãÅ®æ_•äººåŒ–ã‚„æœ¬æ _ç_„ãÅªå§‹å‹•ãÅ«åê‘ãÅ‘ãÅ_æº–å‚™ä¸_ãÅ§ãÅ™ã€‚
Robin Kiplangat,Wrangling stuff | Civic Innovations | Education | Advocasy | Art | Foodie | Data | Life-learning
Nick Hargreaves,Everything is information.  I organize 1's and 0's. Software Developer @beyonictech
International Center for Journalists,The International Center for Journalists (ICFJ) is a non-profit organization that is shaping the future of quality journalism.
Etalab,"Mission sous l'autoritÃ© du Premier Ministre, chargÃ©e de l'ouverture des donnÃ©es publiques et du dÃ©veloppement de la plateforme franÃ§aise @datagouvfr"
New Urban Mechanics,"The Mayor's Office New Urban Mechanics is Boston's Civic R&D Lab / Incubator. We are builders, experimenters and city hackers. Next Stop: The Future!!!!"
Associated Industries of MA,Follow the latest on Massachusetts business and policy in our blog. http://t.co/S1Q7gCpzsk
Cambridge Chamber of Commerce,"The preeminent voice of business in Cambridge, Massachusetts. Tweets by Director of Communications Lisa Cohen. #CambMA #bizimpact"
Greater Boston Chamber of Commerce,The most extensive business network in Greater Boston. Latest news and resources for executives and professionals across the region.
Kendall Square Association,"The official public info channel for Kendall Square, Cambridge.Published by the Kendall Square Association."
New England Council,New England's voice on Capitol Hill for over 90 years.
CEO Club of Boston,NULL
Mass Business Roundtable,BRT is an association of CEOs of leading U.S. companies working to promote sound public policy and a thriving U.S. economy.
Mass Inc,"Founded in 1996, the Massachusetts Institute for a New Commonwealth â€“ known as MassINC â€“ is an independent, nonpartisan research and educational institute."
Mass Insight,NULL
Mass Municipal Association,"The voice of cities and towns in Massachusetts. A nonprofit, nonpartisan membership association building strong communities across the Commonwealth."
NASCIO,Official Twitter page of the National Association of State Chief Information Officers (NASCIO)
MA Broadband Institute,"A division of @mass_tech, the Massachusetts Broadband Institute is working to extend affordable, high-speed Internet access across the Commonwealth."
MA Tech Leadership Council,NULL
Mass Tech Collaborative,An innovative public agency supporting the Massachusetts tech economy. More of us at @MassBroadband @MassEHealth @Mass_Tech_Hub @MassBigData & @MassVetsAdvisor
Massachusetts Innovation and Technology Exchange,MITX lives at the intersection of marketing & technology â€¢ We believe that inspiration drives innovation â€¢ Our members are creating what's next in digital tech
TechNet New England,NULL
Cambridge Innovation Center,the largest startup community anywhere (fka Cambridge Innovation Center)
District Hall,Boston's new public space platform in @IDBoston: where the innovation community can share stories and exchange ideas.
Venture Cafe,"Venture CafÃ© connects the innovation community through its spaces, programs, and conversations. https://t.co/vmrOPEr8Xo"
Mass Challenge,MassChallenge is the most startup-friendly accelerator on the planet. We help entrepreneurs win -- no equity taken.
Space With a Soul,"Space with a Soul is a #coworking #space for nonprofits, startups, and small businesses located in Boston's historic Fort Point Channel."
Broad Institute,"A unique, collaborative community pioneering a new model of biomedical science"
Boston Public Schools,"Official account for the nation's first public school system. Boston Public Schools serve more than 56,000 pre-k through grade 12 students in 125 schools."
Cambridge Public Schools,"Welcome to Cambridge Public Schools, a district committed to academic excellence and social justice for ALL students."
Massachusetts Business Alliance For Education,The Massachusetts business community is seizing the New Opportunity to Lead! Our mission is to educate every child for success.
Massachusetts Computing Attainment Network,NULL
MassTLC Ed Foundation,"Inspire Students to Learn More, Dream More and Be More through computing."
Broadening Advanced Technological Education Connections,Transforming Education for the 21st Century IT Professional
Massachusetts Computer Using Educators,Massachusetts Computer Using Educators - Connecting Educators for the Commonwealth!
LearnLaunch Institue,Expanding Bostonâ€™s edtech ecosystem
Mass Teacher's Association,"MTA represents 110K teachers, faculty, professional staff & ESPs working at public schools, colleges and universities across Massachusetts."
Massachusetts Elementary School Principals' Association,NULL
Computer Science Teacher's Association,Computer Science Teachers Association is a membership organization for computer science teachers.
"Josh	 Sheldon","Dad, MIT App Inventor & STEP Lab teams, educator, photographer, and much more"
Breakthrough Greater Boston,NULL
Citizen Schools,Mobilizing citizens to close the opportunity gap for middle schoolers in -low-income communities across the nation. #edpolicy #teachback
City Year,We believe education has the power to help every child reach his or her potential. Our @AmeriCorps members serve to #makebetterhappen for students nationwide.
Easterseals Massachusetts,Changing lives through Assistive Technology for 25 years
Boston Museum of Science,"Follow us for updates and special offers on exhibits and shows, fun science facts, & science and #NCTL news. Instagram: @MuseumOfScience."
Network for Teaching Entrepreneurship,Network for Teaching Entrepreneurship (NFTE) is a global nonprofit that unlocks potential in young people by teaching them how to think entrepreneurially.
Root Cause,"Advancing how nonprofits & foundations can improve outcomes, grantmaking, & peoplesâ€™ livesâ€”faster, smarter, at greater scale. Visit https://t.co/o1egKVslHz"
Science Club for Girls,"Building science literacy, sisterhood and self-confidence in girls & teens. Creating a diverse and inclusive STEM community. https://t.co/S8mhb149Dj"
Timothy Smith Network,28 Timothy Smith Centers providing community-based technology education to residents of all ages.
Youth Cities,"Youth CITIES (creating impact through innovation, entrepreneurship, and sustainability) strives to introduce high school students to #socent"
Boston Scholar Athletes,501(c)3 supporting academic achievement through athletics for urban high schools. Email us! SAinfo@wearesa.org
The Boston Foundation,"Greater Bostonâ€™s community foundation: a partner in philanthropy, a major funder, a civic leader and convener."
Boston Globe,"Boston and New England's leading source for breaking news and analysis, with coverage from across the world. Follow our journalists: https://t.co/KPOiZTQG87"
Beta Boston,"Hosting Boston's biggest open source startup demo night on 10/25--join us! http://t.co/qKBzg62vNN Benefiting the Free Software Foundation, produced by @karamorr"
Boston Herald,"Starting the conversation every day with passionate journalism, watchdog special reports and the best in New England sports, business and features."
Erin Akred,NULL
DataKind,"Harnessing the power of data science in the service of humanity. We have Chapters in Bangalore, Dublin, San Francisco, Singapore, the UK and Washington DC."
Boston Business Journal,Breaking news and other stories from the Boston Business Journal.  Follow @BosBizEvents for updates from the BBJ's events and marketing team.
BostInno,"Digital media and events company celebrating innovation. Check out our properties: @AustinInno, @BostInno, @ChicagoInno and @DC_Inno"
WBUR,Boston's NPR News and Information Station - 90.9 FM. Mass. home of @WBURartery @CogWbur @CommonHealth @RadioBoston @OnPointRadio  @HereAndNow @OnlyAGameNPR
WBZ Newsradio,No RSS â€“ just real updates from real people at WBZ and CBS Boston.
Xconomy,"The leading source of innovation business news - Boston, Boulder/Denver, Detroit, New York, Raleigh-Durham, San Diego, San Francisco, Seattle, Texas, Wisconsin."
The City of Boston,"For non-emergency City services, dial 311, tweet @BOS311, or visit http://t.co/cucJ2iq3yL."
The City of Cambridge,Official Twitter Account of the City of Cambridge. Account not monitored 24/7 #CambMA
Boston University,"The official Twitter feed of Boston University. Join the conversation & follow us to hear about events, announcements & all things #BU!Email us: social@bu.edu"
Roxbury Community College,"The Official Twitter Page of Roxbury Community College. RCC is a comprehensive, multicultural, urban, student centered, open-access community college."
Salem State University,"We provide a high quality, student-centered education for a diverse community of learners. Follow us for news, to chat, have fun, and for support. #salemstate"
Massachusetts Business Roundtable,"Business leaders from major employers across Massachusetts working to improve competitiveness, strengthen the stateâ€™s long-term economy"
NetApp,"Stay connected with all things #NetApp: news, data storage products, data management solutions, events & more. Send us your questions via @NetApp."
Massachusetts Department of Elementary and Secondary Education,Official Twitter account of the Massachusetts Department of Elementary & Secondary Education
Massachusetts Institute of Technology,"The Massachusetts Institute of Technology is a world leader in research and education. Related accounts: @MITevents, @MITvideo Full list: http://t.co/yi6zEYtL6J"
WGBH,"We produce great programs on air & online: Nova, Masterpiece, Frontline, Curious George, Arthur, WGBHNews, Celtic, Jazz, WCRB, WCAI, The World, The Takeaway..."
Massachusetts Green High Performance Computing Center,We are the Massachusetts Green High Performance Computing Center (tweets from 2012/2013 @MGreenHPCC)
Jumpstart,We're a national early education organization working toward the day every child in America enters kindergarten prepared to succeed.
Better Lesson,BetterLesson is a place where educators can find and share what works.
Teachers21,NFP thought and action partners in developing leadership and learning cultures where all educators embrace constant learning and  continuous improvement.
AAUW,NULL
Mass Technology Leadership Council,"New England's premier network for tech executives, entrepreneurs, investors & policy leaders. We help our members get where they are going, faster."
Cambridge Science Festival,"Cambridge Science Festival 2016, April 15-24. Fun science events in and around Cambridge + Greater Boston! Join the conversation #cambscifest"
Northeastern University,The official Twitter feed of Northeastern University.
Wellesley Education Foundation,"March 28, 2015 - Celebration of Science, Technology, Engineering, Arts and Math;    Exhibits and Workshops 10am-2pm, Key Note Speaker 2 pm, HS Reception 3 pm"
"HOME, Inc",NULL
Boston Dynamics,NULL
Mass Technology Leadership Council,"New England's premier network for tech executives, entrepreneurs, investors & policy leaders. We help our members get where they are going, faster."
Massachusetts Department of Higher Education,Creating a new vision for public higher education in Massachusetts. (Note; RTs are not endorsements.)
Code.org,http://t.co/rQdcoEyAx8 is a non-profit dedicated to exposing all students to computer science. Anybody can learn.
Lesley University,Welcome to Lesley University's Twitter feed. Follow us and keep in touch!
Bootstrap,Greater Boston's premier food scrap pickup service. No space to compost your organics? Let us do it for you! Tweets by @themidwestsun
UMass Boston,"This is an official feed from UMass Boston, a research university with a teaching soul. Follow us for news and updates from our seaside campus."
Tufts University,"Located on four campuses in Boston, Medford/Somerville & Grafton, MA, and Talloires, France; recognized among the premier research universities in the US."
Envision Technology Advisors,"Technology consulting services for New England & beyond - including desktop & server virtualization, cloud solutions, network consulting, web design and more."
Boston College,"A premier, Jesuit Catholic university. #wearebc #bostoncollege Instagram: BostonCollege YouTube: BostonCollege"
The Young People's Project,NULL
InterSystems,"Global provider of database, integration, and analytics software used in healthcare, financial & other industries requiring high performance (#BigData #HIT )"
Orchid Robotics,NULL
Hewlett Packard,"Engineering experiences that amaze. We create technology with a purpose: to make life better for everyone, everywhere. #KeepReinventing."
Harvard Kennedy School,John F. Kennedy School of Government at Harvard.
Wheelock College,Improving the lives of children and families isnâ€™t always easy â€“ but itâ€™s worth it. At Wheelock youâ€™ll find an entire community committed to changing things.
Tech Goes Home,"We help people use the Internet to improve their lives via training, access, and hardware! Connect with us on FB at http://t.co/fya6B0zcZ0."
Harvard University,"Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally."
Massachusetts Technology Transfer,NULL
Black House & Co,"Black House & Co offers a luxurious beautiful #coworkspace to innovative professionals working in #Business #Law #Consulting, Arts, and more."
Emerson College Engagement Lab,An applied research lab at Emerson College focused on playful approaches to serious issues. Home of #CivicMediaProj #civicmedia.
The Capital Network,The Capital Network (TCN) provides educational programs and a community to help entrepreneurs master the funding process and raise capital for their startup.
Green Streets Initiative,"On the last Friday of every month, celebrate your commute! Join us by checking in and helping get the word out: http://t.co/j5CyWmqi6d #walkrideday"
Mass Economics,"Cities, economics, inclusion, equality.                   Tweets by @MassEconomics principal; colleagues tweet at @MassEconTweets."
Venture Cafe,"Venture CafÃ© connects the innovation community through its spaces, programs, and conversations. https://t.co/vmrOPEr8Xo"
Brandeis International Business School,Today's global economy calls for leaders who are World Ready. And there's no better place to become World Ready than Brandeis IBS.
TiE Boston,"TiE is the world's largest not-for-profit organization that promotes entrepreneurship through mentoring, networking, education, incubating and funding."
The City of Somerville,"Official twitter feed of the City of Somerville, MA. News, Events, Alerts & a direct conduit to the Mayor & staff for your ideas & feedback"
New England Clean Energy Council,NECEC is the premier voice of businesses building a world-class clean energy hub in the Northeast. (Tweets by @KatePloJo)
Right To Play,We use the transformative power of play - playing sport and playing games â€“ to educate and empower children facing adversity.
Massachusetts Digital Games Institute,A statewide center for //ENTREPRENEURSHIP x ACADEMIC COOPERATION x ECONOMIC DEVELOPMENT// across the Mass. games ecosystem. Tweets by @TimothyLoew.
Boston Redevelopment Authority,"Boston's planning and economic development agency. Building Boston's future, respecting its past. Tweets are from Nick Martin, Director of Communications."
Women Entrepreneurs in Science & Technology,#Advancing #Women in the #Enterprise of #Science and #Technology is a 501(c)(3) non-profit dedicated to #leadership #development for women in #STEM
Aimee Sprung,"Civic Engagement Manager at Microsoft @MSNewEngland, native Bostonian, mom of two boys and Crossfit enthusiast."
Brian Burke,NULL
Cathy Wissink,"Director, Tech + Civic Engagement, @Microsoft. #Boston transplant/ #Seattle native. Exploring all thatâ€™s interesting about my adopted home."
Nigel Jacob,"Co-founder of @newurbanmechs | @codeforamerica board | #civictech  @Living_Cities | Exec-in-Res @BUManagement | Urban Shamanics | Bodhi, Thea and Friede's Dad!"
Annmarie Levins,NULL
Sasaki Associates,NULL
David Lorente,Civic Tech Fellow @microsoft. Programmer & Musician.
Rita Allen Foundation,NULL
Robin Hood Foundation,Follow #RHFunded to learn more about the 200+ NYC programs that Robin Hood supports.
Granicus,"Connecting government, citizens, and process together to enrich productivity and progress."
Buntwani,The Potential of ICT in strengthening Citizen Engagement and Participation
Hack for LA,"Hacking for civic good in LA! Join us at our monthly meetups, sign up at http://t.co/FK7BbzFLVO"
Aspiration Tech,"We're an NGO that helps organizations, foundations, and activists leverage technology in social change efforts. Read our manifesto: http://t.co/R97hIfZO3F"
City of Los Angeles,NULL
Nick Gaines,NULL
Marissa Mlotek,"Events Director @CivicHall | West Wing, Lemonade-Iced Tea & HGTV Enthusiast | All Tweets are My Own"
Heidi Sieck,COO * @CivicHall * CEO * @CTZNWELL * Elevating Women in Political Leadership * San Franciscan Nebraskan living in NYC * Tweets are my own
Rock the Vote,Building political power for young voters
#CTZNWELL,CTZNWELL is mobilizing the 50+ million Americans engaged in lifestyles of health and sustainability to become social advocates for the wellbeing of all.
Georgia Bullen,"#civictech for engagement: #usability, #design, #data, #dataviz #visualization, #urbanplanning, #opensource; working for the http://t.co/ozlfAlUNPL (@OTI)"
Richard Dunks,"@NYU_CUSP MS grad, ex-@NYCAnalytics intern, & ex-@DataKind DataCorps Ambassador. Founder @Datapolitan. Retweet != [endorsement, advocacy]"
Unity,"Connecting similar progressive organizations with the same mission, to increase quality of life for all."
Civic Service,NULL
Dave Seliger,Civic innovation for @nycforward & https://t.co/0o5NOXANaX. Co-founder of @DFENYC (formerly @CivicService) & @CivicDesignCamp NYC. All opinions are my own.
Ryan,Current= @NYCMayorsOffice @Minervatweet @NYCForward Former= @Google @MikeBloomberg @GovHowardDean #techie #humanist #lefthanded. Made in #NewMexico live in #NYC
Kate Krontiris,"Researcher, Strategist, and Facilitator || Focus: Civic Life in America || Tweets: What I'm working on. What you're working on. The future."
Andrew Hyder,"Apps, maps, and raps :: SJW :: Developer Advocate at Code for America :: 2013 Fellow"
Erhardt Graeff,"Sociologist and Civic Technologist working with @civicMIT, @medialab, @BerkmanCenter, @AwesomeFound"
Laboratorio para la Ciudad,El Laboratorio para la Ciudad es el Ã¡rea experimental del @GobiernoDF #CiudadAbierta #CiudadCreativa #CiudadLÃºdica #CiudadCompartida (English: @labforthecity)
Daniel Tello,"EXATec - Ing. en ElectrÃ_nica, Ayoui, Developer. InnovaciÃ_n TecnolÃ_gica en @LabCDMX"
John Ridener,"Open data, mapping, and metadata. Open Data Community Liaison for San Mateo County. Opinions are my own of course."
Burkina Faso Open Data,NULL
Ashley Southerland,Future: Urban Planner | Current: @Microsoft #CivicTech Fellow | Prev: Biz Dev at #MajoraCarterGroup
Saron,I wore a t-shirt to my wedding. Developer. Founder @CodeNewbies. Managing #TechJobsAcademy at @MicrosoftNY. Work hard and gaf.
University of Chicago,NULL
Emma Smith,NULL
CivicMakers,NULL
Lawrence Grodeska,"to gather, celebrate & create on spaceship earth / founder @civicmakers / music @therealnumbers / past @accelasoftware @change @sfgov @stopwasteorg #civictech"
Carlos Martinez-Vela,NULL
City of Austin,NULL
Daniel Hadley,Data and design geek. Urbanist. Chief of Staff to Mayor Curtatone.
Innovate Your State,NULL
OpenSaltLake,NULL
Tyson Anderson,A Code for America Brigade serving the greater Salt Lake community
The City of Raleigh,NULL
Jad Bean,"Amateur humorist, t-shirt designer, builder of things, failed paleontologist, podcast addict, father."
PilotCity,NULL
abcd,NULL
Government Technology Magazine,Official Twitter page of Government Technology magazine. Solving problems in #stategov & #localgov through the smart use of technology.
Code for Australia,NULL
Alvaro Maz,Public & Social Goodness @codeforaus @creativesuburbs @trending_city
Jason Shueh,"Writer at @govtechnews, #civictech + Gov. 2.0 follower, #sushi lover, @SFGiantsFans fanatic, #coding enthusiast and #MTB aficionado. Follow for #govtech news."
Bridget Roddy,misfit bureaucrat. job @VSFSatState. #deafdogsrock guardian. wannabe chef. eat local. designer at heart. idea implementor. #govvie for good. #UX matters.
ChangeTomorrow,Disrupting how citizens and institutions engage. #ParticipatoryBudgeting #civictech #CommunityEngagement #CitizenEngagement #democracy
C.M. Ovar,NULL
